Date,Price,Open,High,Low,Vol,Change
12/18/2024,100204.01,106133.74,106524.98,100000.0,5.030.799.755,0
12/19/2024,97461.86,100204.01,102800.11,95700.0,55.147.398,0
12/20/2024,97805.44,97461.86,98233.0,92232.54,628.841.357,0
12/21/2024,97291.99,97805.44,99540.61,96398.39,2.348.354.143,0
12/22/2024,95186.27,97292.0,97448.08,94250.35,1.935.383.036,0
12/23/2024,94881.47,95186.28,96538.92,92520.0,3.281.076.703,0
12/24/2024,98663.58,94881.47,99487.99,93569.02,2.367.422.488,0
12/25/2024,99429.6,98663.58,99569.15,97632.02,144.741.651,0
12/26/2024,95791.6,99429.61,99963.7,95199.14,2.119.236.727,0
12/27/2024,94299.03,95791.6,97544.58,93500.01,2.650.126.429,0
12/28/2024,95300.0,94299.03,95733.99,94135.66,83.858.929,0
12/29/2024,93738.2,95300.0,95340.0,93009.52,1.357.600.578,0
12/30/2024,92792.05,93738.19,95024.5,91530.45,276.194.225,0
12/31/2024,93576.0,92792.05,96250.0,92033.73,1.961.203.389,0
01/01/2025,94591.79,93576.0,95151.15,92888.0,1.037.332.613,0
01/02/2025,96984.79,94591.78,97839.5,94392.0,2.197.048.948,0
01/03/2025,98174.18,96984.79,98976.91,96100.01,1.525.382.936,0
01/04/2025,98220.5,98174.17,98778.43,97514.79,899.005.651,0
01/05/2025,98363.61,98220.51,98836.85,97276.79,809.563.723,0
01/06/2025,102235.6,98363.61,102480.0,97920.0,2.526.343.375,0
01/07/2025,96954.61,102235.6,102724.38,96181.81,3.205.987.537,0
01/08/2025,95060.61,96954.6,97268.65,92500.9,3.370.467.894,0
01/09/2025,92552.49,95060.61,95382.32,91203.67,3.454.483.685,0
01/10/2025,94726.11,92552.49,95836.0,92206.02,3.148.286.424,0
01/11/2025,94599.99,94726.1,95050.94,93831.73,70.479.043,0
01/12/2025,94545.06,94599.99,95450.1,93711.19,860.686.622,0
01/13/2025,94536.1,94545.07,95940.0,89256.69,4.261.956.423,0
01/14/2025,96560.86,94536.11,97371.0,94346.22,2.784.661.753,0
01/15/2025,100497.35,96560.85,100681.94,96500.0,3.050.999.179,0
01/16/2025,99987.3,100497.35,100866.66,97335.13,2.783.285.317,0
01/17/2025,104077.48,99987.3,105865.22,99950.77,3.917.185.292,0
01/18/2025,104556.23,104077.47,104988.88,102277.55,2.430.782.998,0
01/19/2025,101331.57,104556.23,106422.43,99651.6,4.339.728.298,0
01/20/2025,100055.43,101331.57,101677.71,99550.0,848.779.594,0
01/21/2025,106143.82,102260.0,107240.81,100119.04,4.594.102.002,0
01/22/2025,103706.66,106143.82,106394.46,103339.12,2.224.869.254,0
01/23/2025,103910.34,103706.66,106850.0,101262.28,5.395.312.031,0
01/24/2025,104870.5,103910.35,107120.0,102750.0,2.360.924.017,0
01/25/2025,104746.85,104870.51,105286.52,104106.09,906.832.377,0
01/26/2025,102620.0,104746.86,105500.0,102520.44,981.251.238,0
01/27/2025,102082.83,102620.01,103260.0,97777.77,507.581.341,0
01/28/2025,101335.52,102082.83,103800.0,100272.68,2.202.205.765,0
01/29/2025,103733.24,101335.52,104782.68,101328.01,2.315.535.802,0
01/30/2025,104722.94,103733.25,106457.44,103278.54,1.937.407.472,0
01/31/2025,102429.56,104722.94,106012.0,101560.0,2.198.318.193,0
02/01/2025,102224.0,102429.56,102783.71,101412.0,51.323.661,0
02/02/2025,99796.0,100635.66,101456.6,99747.59,314.962.233,0
02/03/2025,94495.21,97700.59,97782.79,91231.0,2.099.295.572,0
02/04/2025,97763.13,101328.51,101732.31,96150.0,4.026.798.697,0
02/05/2025,96612.43,97763.14,99149.0,96155.0,2.623.330.444,0
02/06/2025,96554.35,96612.44,99120.0,95676.64,2.351.520.405,0
02/07/2025,96506.8,96554.35,100137.99,95620.34,3.179.422.065,0
02/08/2025,96444.74,96506.8,96880.0,95688.0,1.014.724.294,0
02/09/2025,96462.75,96444.75,97323.09,94713.0,1.412.091.613,0
02/10/2025,97430.82,96462.75,98345.0,95256.0,2.057.287.537,0
02/11/2025,98461.15,97430.82,98478.42,97416.62,340.352.473,0
02/12/2025,96179.96,95778.21,96469.78,95100.0,700.046.203,0
02/13/2025,97821.23,97870.0,97914.0,97534.07,103.905.334,0
02/14/2025,96707.32,96608.13,97248.6,96356.41,543.349.665,0
02/15/2025,97633.91,97500.47,97739.06,97223.58,7.377.137,0
02/16/2025,96118.12,97569.67,97704.47,96046.18,81.914.249,0
02/17/2025,96849.22,96118.12,97046.59,95800.0,911.788.379,0
02/18/2025,96105.38,95780.01,96133.0,95538.01,8.867.897,0
02/19/2025,95607.4,95671.74,95849.06,95055.0,156.272.224,0
02/20/2025,96649.73,96644.37,97000.0,96415.09,8.365.616,0
02/21/2025,98300.0,98305.01,98505.0,98084.06,83.684.794,0
02/22/2025,96401.96,96181.99,96451.15,95770.49,132.191.299,0
02/23/2025,96429.99,96551.01,96650.0,96355.17,66.337.232,0
02/24/2025,95957.43,96258.0,96500.0,95763.43,134.308.317,0
02/25/2025,92080.93,91552.88,92401.01,90912.01,633.240.951,0
02/26/2025,84250.09,88680.39,89414.15,82256.01,5.689.354.409,0
02/27/2025,86455.42,84250.09,86737.0,84026.96,1.212.007.553,0
02/28/2025,82659.59,84708.57,84892.85,81111.0,704.017.199,0
03/01/2025,84573.79,84349.95,84637.57,83824.78,165.811.898,0
03/02/2025,94270.0,86064.54,95000.0,85050.6,5.488.909.045,0
03/03/2025,86220.61,94269.99,94416.46,85117.11,5.917.110.218,0
03/04/2025,87281.98,86221.16,88967.52,81500.0,5.560.910.706,0
03/05/2025,90283.57,87281.98,90933.82,86334.53,3.664.948.415,0
03/06/2025,89931.89,90606.0,92810.64,87836.0,3.434.244.902,0
03/07/2025,86801.75,89931.88,91283.02,84667.03,5.798.035.713,0
03/08/2025,86400.26,86801.74,86897.25,85218.47,485.091.027,0
03/09/2025,86294.79,86222.46,86500.0,86116.6,48.117.705,0
03/10/2025,81192.44,80734.48,81878.23,80037.62,304.448.139,0
03/11/2025,79029.49,78595.86,79235.77,76606.0,816.405.366,0
03/12/2025,83488.72,82932.99,83591.07,82604.95,162.419.146,0
03/13/2025,83915.1,83680.12,84000.0,83312.92,185.412.884,0
03/14/2025,81688.68,81115.78,81876.17,80818.84,119.803.213,0
03/15/2025,84227.92,83983.19,84583.04,83964.57,78.281.972,0
03/16/2025,83905.47,84338.44,84391.06,83840.0,61.471.948,0
03/17/2025,83272.85,82574.52,83400.0,82523.0,104.121.085,0
03/18/2025,83018.33,84010.02,84021.74,83017.88,111.053.302,0
03/19/2025,83010.87,82715.03,83280.0,82603.2,136.052.066,0
03/20/2025,85905.91,86845.93,87453.67,85733.11,314.608.729,0
03/21/2025,84711.21,84223.38,84748.44,84180.09,65.696.798,0
03/22/2025,84037.82,84088.79,84338.98,83989.58,53.427.259,0
03/23/2025,84067.56,83840.59,84132.59,83809.75,39.103.146,0
03/24/2025,85664.4,86082.5,86641.13,85577.86,200.695.839,0
03/25/2025,87257.55,87498.16,87679.25,86813.16,14.738.823,0
03/26/2025,87796.68,87392.88,87892.14,87199.99,120.283.051,0
03/27/2025,87466.32,86909.17,87480.94,86796.26,86.469.133,0
03/28/2025,87269.77,87232.01,87515.67,86929.58,9.098.374,0
03/29/2025,84250.0,84424.38,84624.73,84216.0,67.591.986,0
03/30/2025,82929.05,82648.53,83075.48,82500.0,7.616.187,0
03/31/2025,81991.99,82390.0,82444.89,81278.52,192.929.943,0
04/01/2025,82687.1,82550.0,82837.38,82432.74,98.543.318,0
04/02/2025,85126.47,85158.35,85255.95,84854.9,101.501.952,0
04/03/2025,83880.01,82516.28,83998.02,82175.98,345.317.815,0
04/04/2025,82869.74,83213.09,83413.46,82848.75,18.152.406,0
04/05/2025,83983.8,83889.87,84266.0,83395.46,82.368.025,0
04/06/2025,83428.97,83537.99,83817.63,83422.0,65.075.487,0
04/07/2025,79216.47,78430.0,79347.46,77419.9,462.978.575,0
04/08/2025,80601.07,79163.24,80646.0,78772.14,250.778.043,0
04/09/2025,76020.29,76322.42,76868.28,74620.0,632.323.747,0
04/10/2025,82351.19,82615.22,82753.21,82056.19,306.054.714,0
04/11/2025,80299.17,79607.3,80397.76,78969.58,269.871.747,0
04/12/2025,83187.28,83423.83,83572.0,83144.57,110.878.734,0
04/13/2025,85297.84,85276.91,86100.0,84724.91,554.189.517,0
04/14/2025,84114.71,83760.0,85129.69,83678.0,284.549.093,0
04/15/2025,84990.57,84591.58,85137.53,84347.97,120.265.678,0
04/16/2025,83637.79,83643.99,83700.0,83111.64,168.143.455,0
04/17/2025,84325.76,84030.38,84496.0,83932.66,73.645.309,0
04/18/2025,84965.57,84947.92,85132.08,84735.35,64.292.104,0
04/19/2025,84488.86,84474.7,84596.5,84364.45,30.098.686,0
04/20/2025,85276.2,85077.0,85320.76,85050.27,58.984.334,0
04/21/2025,87224.4,85179.24,87450.0,85144.76,673.554.996,0
